Function,Dimensions,Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,Std. Dev.
Ackey's One,30,617.3751999,579.5601887,534.3428744,451.1693039,569.2715362,592.7993299,533.9499027,659.660369,564.8815095,666.0137551,462.5273531,530.0072214,527.0594489,452.4123548,570.2535538,527.5254511,530.0791845,498.9879276,537.5471429,581.482122,589.5129932,556.5825949,560.88533,522.7471044,535.9688221,642.4802674,679.9811822,611.3549894,588.8287518,651.991731,,564.2413165,60.01564187
Ackey's Two,10,183.9516957,178.7685483,188.5542582,187.7270831,181.8341001,182.1734205,184.8599781,187.6053835,179.5433962,185.2315621,184.6862913,177.7836778,186.8396848,187.8758652,168.706176,186.6437632,145.4234671,181.8521946,183.4649148,188.7881162,180.6316911,191.3965425,184.594023,180.9272235,187.8902395,184.5074018,187.314566,176.8034949,188.941282,185.6025819,,182.6974208,8.416550224
Ackey's Two,20,397.2672413,385.3323008,390.8535309,394.4224291,396.1429219,383.9865984,389.4961167,393.1077599,388.9440195,387.4819801,391.404404,391.075701,369.4819635,392.3410776,386.1046062,393.2951018,378.1943175,381.8831229,380.4586811,392.3809995,383.6020511,390.036545,382.1629631,389.2196613,390.1064041,396.1274232,384.3753801,389.6390808,387.554414,384.0162791,,388.0165025,5.987891591
Ackey's Two,30,587.936408,593.9558548,582.3360248,594.2955083,582.5747951,588.0897907,585.0139263,589.4265119,585.3677145,572.9093869,601.1936385,589.5699204,583.5372382,578.3260228,590.8438968,599.7587605,602.2969891,583.8615156,602.4731061,556.9713936,576.8149983,590.2966607,604.2093222,588.691039,604.6095498,588.5854504,597.3451476,594.7152405,583.5781655,603.1610502,,589.4248342,10.50969945
Egg Holder,10,569.2873474,501.8181173,-998.2427022,502.9350447,-945.5072074,-196.5213612,-7.233407942,1016.217158,18.67922227,366.0742748,564.4857541,1911.539135,122.9631899,-291.2982816,-980.0213401,-2478.754399,-681.4332171,-441.0332386,-773.3281105,-723.7404957,524.7539244,342.5267229,1095.137301,-645.4797679,1076.924141,708.3616922,1057.543982,-1305.941118,775.5872253,110.2110631,,26.55035489,909.1420362
Egg Holder,20,281.6435612,-580.8128293,-786.9578853,1648.867634,265.0292486,3504.296166,-263.4246889,1693.578099,760.4161875,881.8338106,2600.26847,1220.24565,-1048.647454,1441.918682,-816.8657773,-2181.437533,-1445.447165,-808.1834615,-2291.523987,996.4991439,-1110.814616,270.6779606,1073.534928,-901.1605966,358.0776606,-1416.573176,2173.239301,-25.18653372,-1015.695317,-1861.271275,,87.20414024,1446.020728
Egg Holder,30,-2503.974661,342.6173292,-72.06371985,449.7186215,792.2796059,2170.632379,816.2774623,1420.105021,613.4779067,-3319.149399,981.8388554,-792.6534749,-1282.307389,1291.290981,-280.5033594,773.1676707,-42.67072734,-28.10510092,1336.577685,3152.487683,1265.182609,-1749.42977,-1754.535961,-1582.192855,146.1827547,274.7188409,2833.894288,978.4702913,-604.5192761,525.2360149,,205.0683436,1462.470544
Rana,10,-12.62946808,738.5881909,-1913.745193,-957.5770052,593.0807499,683.9232534,101.010906,273.7961312,-565.7339216,-131.7791437,-193.6349123,40.43095638,-51.743899,-446.4041849,1177.45069,368.7902296,292.2886406,855.668432,-36.6257498,-11.59381236,720.9020098,4.067025599,-4.630322538,1154.502435,148.1784965,67.59764307,7.698794415,670.4071474,-594.6876722,-499.2141485,,82.61274328,634.5363243
Rana,20,559.14096,1154.09638,1205.934991,-223.1026416,-1162.094733,-743.6396802,831.3752487,-788.9830582,1521.227491,-702.1719757,1382.250573,524.8878237,-84.93051635,1361.719443,1952.540332,-590.7506603,1403.468606,231.0418132,-117.5292082,-243.2115693,-1455.545651,1260.557536,-353.2329858,-64.00676249,-120.4858264,316.6033906,701.0858597,-1350.168116,-948.8449396,-1469.495252,,132.9245624,987.3931687
Rana,30,1341.017359,-211.1588724,1155.106856,-340.6382779,1426.473174,-161.8312924,-1164.451562,260.1362751,39.82506394,687.717766,838.5906469,20.04925304,-743.8510305,-308.2079709,283.6471713,-1918.895768,-620.8930861,-743.4965479,-1692.455305,-33.48303217,-350.0319268,-901.8260962,-423.2770899,-844.0649807,653.5201077,-1753.236019,796.2019426,-371.6773921,-2645.797174,-732.722709,,-281.9903506,972.4263111
